I / *:   0.4	130	3.504E+14	2.014E+14	49.42	5499  
I / *:   0.4	135	3.504E+14	2.073E+14	48.68	5337  
I / *:   0.4	140	3.504E+14	2.125E+14	47.93	4772  
I / *:   0.6	-140	3.504E+14	2.859E+11	146.7	383.2  
I / *:   0.6	-135	3.504E+14	2.859E+11	146.2	380.4  
I / *:   0.6	-130	3.504E+14	2.977E+11	145.7	377.4  
I / *:   0.6	-125	3.504E+14	3.094E+11	145.1	795.6  
I / *:   0.6	-120	3.504E+14	3.094E+11	144.6	785.5  
I / *:   0.6	-115	3.504E+14	3.094E+11	143.9	773.8  
I / *:   0.6	-110	3.504E+14	3.094E+11	143.3	760.4  
I / *:   0.6	-105	3.504E+14	3.214E+11	99.97	745  
I / *:   0.6	-100	3.504E+14	3.336E+11	99.9	727.2  
I / *:   0.6	-95	3.504E+14	3.577E+11	99.82	706.7  
I / *:   0.6	-90	3.504E+14	3.936E+11	99.73	793  
I / *:   0.6	-85	3.504E+14	4.404E+11	99.65	699.3  
I / *:   0.6	-80	3.504E+14	5.116E+11	99.52	696.8  
I / *:   0.6	-75	3.504E+14	5.703E+11	99.29	790.8  
I / *:   0.6	-70	3.504E+14	6.65E+11	99.06	695.9  
I / *:   0.6	-65	3.504E+14	7.348E+11	98.82	696.2  
I / *:   0.6	-60	3.504E+14	9.594E+11	98.57	789.7  
I / *:   0.6	-55	3.504E+14	1.1E+12	98.24	688.9  
I / *:   0.6	-50	3.504E+14	1.337E+12	97.87	696.2  
I / *:   0.6	-45	3.504E+14	1.646E+12	97.49	796.9  
I / *:   0.6	-40	3.504E+14	2.048E+12	97.08	686.8  
I / *:   0.6	-35	3.504E+14	2.823E+12	96.66	693.7  
I / *:   0.6	-30	3.504E+14	3.753E+12	96.22	691.1  
I / *:   0.6	-25	3.504E+14	4.652E+12	95.75	677.3  
I / *:   0.6	-20	3.504E+14	5.41E+12	95.27	699  
I / *:   0.6	-15	3.504E+14	6.089E+12	94.76	692.4  
I / *:   0.6	-10	3.504E+14	6.968E+12	94.22	894.4  
I / *:   0.6	-5	3.504E+14	8.058E+12	93.66	625.9  
I / *:   0.6	0	3.504E+14	9.572E+12	93.08	596.4  
I / *:   0.6	5	3.504E+14	1.101E+13	92.22	596.1  
I / *:   0.6	10	3.504E+14	1.273E+13	88.6	693.8  
I / *:   0.6	15	3.504E+14	1.562E+13	84.77	1199  
I / *:   0.6	20	3.504E+14	1.934E+13	80.75	1198  
I / *:   0.6	25	3.504E+14	2.364E+13	76.56	1194  
I / *:   0.6	30	3.504E+14	2.802E+13	74.66	1273  
I / *:   0.6	35	3.504E+14	3.256E+13	74.1	1388  
I / *:   0.6	40	3.504E+14	3.708E+13	73.5	1376  
I / *:   0.6	45	3.504E+14	4.24E+13	72.86	1395  
I / *:   0.6	50	3.504E+14	4.927E+13	72.17	1679  
I / *:   0.6	55	3.504E+14	5.858E+13	71.45	1738  
I / *:   0.6	60	3.504E+14	6.881E+13	69.04	3484  
I / *:   0.6	65	3.504E+14	8.775E+13	66.39	4852  
I / *:   0.6	70	3.504E+14	1.043E+14	63.74	2498  
I / *:   0.6	75	3.504E+14	1.164E+14	61.11	2951  
I / *:   0.6	80	3.504E+14	1.274E+14	58.52	5380  
I / *:   0.6	85	3.504E+14	1.395E+14	55.98	5406  
I / *:   0.6	90	3.504E+14	1.549E+14	53.5	5491  
I / *:   0.6	95	3.504E+14	1.689E+14	51.11	5496  
I / *:   0.6	100	3.504E+14	1.785E+14	49.55	5498  
I / *:   0.6	105	3.504E+14	1.872E+14	48.78	5491  
I / *:   0.6	110	3.504E+14	1.956E+14	48	5346  
I / *:   0.6	115	3.504E+14	2.029E+14	47.2	5499  
I / *:   0.6	120	3.504E+14	2.096E+14	46.4	5420  
I / *:   0.6	125	3.504E+14	2.155E+14	45.59	4945  
I / *:   0.6	130	3.504E+14	2.201E+14	44.77	5453  
I / *:   0.6	135	3.504E+14	2.238E+14	43.96	4936  
I / *:   0.6	140	3.504E+14	2.271E+14	43.15	4849  
I / *:   0.8	-140	3.504E+14	3.098E+11	99.9	357.5  
I / *:   0.8	-135	3.504E+14	3.214E+11	99.82	792.1  
I / *:   0.8	-130	3.504E+14	3.335E+11	99.74	781.3  
I / *:   0.8	-125	3.504E+14	3.335E+11	99.65	768.9  
